type,adress,price,link_image
Chaussures Nike shox,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5560200_uploaded_image1_1759705337.jpg
New Balance ,"Dakar, Sénégal",27 000CFA,https://images.coinafrique.com/thumb_5560198_uploaded_image1_1759705125.jpg
Asic Gel Nyc,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5588303_uploaded_image1_1761261141.jpg
Baskets Nike Air force ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5588276_uploaded_image1_1761258377.jpg
Baskets Nike Air force 1 ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5588272_uploaded_image1_1761258036.jpg
Chaussures homme ,"Dakar Plateau, Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5591956_uploaded_image1_1761508658.jpg
Chaussures Air f1,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5548969_uploaded_image1_1759170133.jpg
Baskets Air force,"Dakar, Sénégal",18 000CFA,https://images.coinafrique.com/thumb_5548972_uploaded_image1_1759170249.jpg
Baskets Asic kayono,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5548956_uploaded_image1_1759169555.jpg
Chaussures New Balance 530,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5548965_uploaded_image1_1759169877.jpg
Sandales Dior Alpha ,"Dakar, Sénégal",17 000CFA,https://images.coinafrique.com/thumb_5548962_uploaded_image1_1759169765.jpg
Chaussures Nike shox ,"Dakar, Sénégal",27 000CFA,https://images.coinafrique.com/thumb_5548942_uploaded_image1_1759169016.jpg
Chaussures New Balance 740 ,"Dakar, Sénégal",22 000CFA,https://images.coinafrique.com/thumb_5548951_uploaded_image1_1759169363.jpg
Baskets Nike shox ,"Dakar, Sénégal",27 000CFA,https://images.coinafrique.com/thumb_5548948_uploaded_image1_1759169257.jpg
Chaussures Af1 ,"Dakar, Sénégal",16 000CFA,https://images.coinafrique.com/thumb_5548935_uploaded_image1_1759168746.jpg
Chaussures Af1 ,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5548937_uploaded_image1_1759168841.jpg
Baskets Jordan 4 ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5548928_uploaded_image1_1759168475.jpg
Chaussures Af1 authentique ,"Dakar, Sénégal",13 000CFA,https://images.coinafrique.com/thumb_5548932_uploaded_image1_1759168637.jpg
Baskets Jordan 3 original ,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5548923_uploaded_image1_1759168249.jpg
Baskets New Balance 740,"Dakar, Sénégal",22 000CFA,https://images.coinafrique.com/thumb_5548919_uploaded_image1_1759168129.jpg
Chaussures Asic gel Nyc original ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5548916_uploaded_image1_1759168020.jpg
Chaussures Asie  gel Nyc ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5548913_uploaded_image1_1759167875.jpg
Baskets New Balance 2000 ,"Dakar, Sénégal",27 000CFA,https://images.coinafrique.com/thumb_5548908_uploaded_image1_1759167685.jpg
Baskets Adidas samba ,"Dakar, Sénégal",21 000CFA,https://images.coinafrique.com/thumb_5548904_uploaded_image1_1759167399.jpg
Chaussures Asic Gel 1130 ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5548901_uploaded_image1_1759167299.jpg
Chaussures Nike vomero 5 ,"Dakar, Sénégal",27 000CFA,https://images.coinafrique.com/thumb_5548897_uploaded_image1_1759167093.jpg
Chaussures  Nike Alphafly 3,"Dakar, Sénégal",27 000CFA,https://images.coinafrique.com/thumb_5548894_uploaded_image1_1759166877.jpg
Chaussures Nike vomero 5 original ,"Dakar, Sénégal",27 000CFA,https://images.coinafrique.com/thumb_5548896_uploaded_image1_1759166973.jpg
Chaussures  homme,"Point E, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5589248_uploaded_image1_1761315501.jpg
Balenciaga,"Dakar Plateau, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5588338_uploaded_image1_1761263231.jpg
